year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
tha,1,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: สิ่งของถูกห่อไว้ในพลาสติก,(1) มันบอบบาง\n(2) มันเล็ก,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,2,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ฉันเอาของออกจากกระเป๋า,(1) ฉันหาขั้วตั๋ว\n(2) ฉันเจออาวุธ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,3,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ปลวกกินบ้าน,(1) ปลวกหายไปจากบ้าน\n(2) ปลวกกินไม้ในบ้าน,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,4,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: นักท่องเที่ยวเดินทางถึงชายแดน,(1) ผู้ตรวจด่านตรวจหนังสือเดินทางของเขา\n(2) ผู้ตรวจด่านกล่าวหาว่าเขาแอบนำของออกมา,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,5,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ที่ทำงานปิด,(1) มันคือวันหยุด\n(2) มันเป็นฤดูร้อน,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,6,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เด็กผู้หญิงหมดแรง,(1) เขาเล่นหมากรุก\n(2) เขากระโดดเชือก,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,7,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้หญิงเสียที่ในคิว,(1) มีคนเข้าคิวมากขึ้น\n(2) เขาเดินออกนอกคิวไป,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,8,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เด็กผู้หญิงบีบจมูก,(1) ทารกนํ้าหลายไหลใส่ผ้ากันเปื้อน\n(2) ทารกทำผ้าอ้อมเลอะ,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,9,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: วงดนตรีเล่นเพลงดัง,(1) คนดูตบมือตาม\n(2) คนดูนั่งฟังด้วยมารยาท,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,10,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เด็กผู้หญิงอยากจะขอบคุณครูคณิตศาสตร์,(1) เด็กผู้หญิงโดนทำโทษหลังเลืกเรียน\n(2) เด็กผู้หญิงเอาแอปเปิ้ลให้คุณครู,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,11,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: นักเดินทางรู้สึกกลัว,(1) ค่ายของเขาเล่าเรื่องผีให้ฟัง\n(2) พวกเขาย่างขนมบนกองไฟ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,12,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้ชายกระแทกศีรษะของเขา,(1) เขาใจลอย\n(2) สมองเขากระทบกระเทือน,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,13,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เช็คที่ฉันเขียนเด้ง,(1) บัญชีธนาคารของฉันไม่มีเงิน\n(2) ฉันได้รับการขึ้นเงินเดือน,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,14,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: อีเมล์ของผู้ชายเต็มไปด้วยเมล์ขยะ,(1) เขาลบมันออก\n(2) เขาส่งเมล์ไปให้หลายคน,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,15,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: กะลาสีเรือถูกกักกันโรค,(1) เขาเคยเข้าใกล้พื้นที่เสี่ยงโรค\n(2) เขาหายจากโรค,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,16,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เด็กผู้หญิงจำรหัสลับ,(1) เขาท่องจำมัน\n(2) เขาลืมจดมันลง,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,17,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ฉันเทนํ้าลงในแก้ว,(1) นํ้าดับความกระหายของฉัน\n(2) แก้วถูกเติมเต็ม,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,18,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้ชายยังเงียบหลังจากเพื่อนของเขาพูดจบแล้ว,(1) เขาต้องการที่จะสนับสนุนเพื่อนเขา\n(2) เขาคิดถึงคำพูดของเพื่อนเขา,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,19,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: อุบัติเหตุเป็นความผิดของฉัน,(1) ฉันรู้สึกผิด\n(2) ฉันจะแจ้งความ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,20,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: โซ่หลุดออกจากกัน,(1) โซ่ถูกพันไว้รอบล้อรถ\n(2) ข้อโซ่หนึ่งข้อหลุดออก,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,21,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: คู่รักตัดสินใจที่จะประนีประนอม,(1) พวกเขาเหนื่อยที่จะเถียงกัน\n(2) พวกเขาเลี่ยงที่จะไม่พูดถึงปัญหา,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,22,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้หญิงตัดสินใจที่จะลงเลือกตั้ง,(1) เขาจ้างผู้จัดการหาเสียง\n(2) เขาให้ปากคำในศาล,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,23,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้ชายเตรียมตัวรับมือกับความหนาว,(1) เขาเตรียมเสื้อหนาวเอาไว้\n(2) เขาเดินทางกับกระเป๋าใบใหญ่,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,24,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: เด็กนักเรียนรู้คำตอบ,(1) เขายกมือขึ้น\n(2) เขาเกิดขี้เกียจ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,25,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ผู้ชายนํ้าตาไหล,(1) ฝุ่นเข้าตาเขา\n(2) เขาใส่แว่นตากัน,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,26,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: นักกีฬาชนะห้าเกมติดต่อกัน,(1) คู่แข่งของเขากล่าวหาว่าเขาโกง\n(2) คู่แข่งของเขารู้สึกเสียใจ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,27,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ครูฉีกกระดาษข้อสอบนักเรียนทิ้ง,(1) เขาพบว่านักเรียนโกงข้อสอบ\n(2) คำตอบของนักเรียนผิด,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,28,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: ฉันหยุดที่จะคิด,(1) เสียงฉันหาย\n(2) ฉันหายใจไม่ทัน,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,29,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: อาหารแช่แข็งละลายแล้ว,(1) ฉันเอามันใส่ในเตาอบ\n(2) ฉันห่อมันด้วยถุงพลาสติก,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,30,จงเลือกสาเหตุที่เป็นไปได้มากที่สุดของเหตุการณ์ดังต่อไปนี้: พนักงานแกล้งป่วย,(1) เขาปวดท้อง\n(2) เขาต้องการวันหยุด,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
