year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,Dialog1 : On Loy Krathong Day\nJoy : It's Loy Krathong Day isn't it?\nTim : _1_ It's time to celebrate. _2_buy a krathong\nmade of bread and float it in the canal?\nJoy : Do you think that's a good idea _3_we should not\ndo that because it pollutes the water.\nTim : _4_ Krathongs made of bread are food for fish.\nJoy : _5_ humans are the major cause of environmental\ndestruction. Let's celebrate online instead.\n\nWhat is the most suitable answer for _1_?,(1) I don'tl ike it.\n(2) That's terrible.\n(3) Oh yeah it sure is.\n(4) What is it?\n(5) Why do you like it?,(3) Oh yeah it sure is.,TRUE,TRUE,TRUE,
2021,2,Dialog1 : On Loy Krathong Day\nJoy : It's Loy Krathong Day isn't it?\nTim : _1_ It's time to celebrate. _2_buy a krathong\nmade of bread and float it in the canal?\nJoy : Do you think that's a good idea _3_we should not\ndo that because it pollutes the water.\nTim : _4_ Krathongs made of bread are food for fish.\nJoy : _5_ humans are the major cause of environmental\ndestruction. Let's celebrate online instead.\n\nWhat is the most suitable answer for _2_?,(1) When do we\n(2) Why don't we\n(3) How often do you\n(4) Do we like to\n(5) May I,(2) Why don't we,TRUE,TRUE,TRUE,
2021,3,Dialog1 : On Loy Krathong Day\nJoy : It's Loy Krathong Day isn't it?\nTim : _1_ It's time to celebrate. _2_buy a krathong\nmade of bread and float it in the canal?\nJoy : Do you think that's a good idea _3_we should not\ndo that because it pollutes the water.\nTim : _4_ Krathongs made of bread are food for fish.\nJoy : _5_ humans are the major cause of environmental\ndestruction. Let's celebrate online instead.\n\nWhat is the most suitable answer for _3_?,"(1) It's a pity\n(2) In case\n(3) How come\n(4) In my opinion,\n(5) With a doubt,","(4) In my opinion,",TRUE,TRUE,TRUE,
2021,4,Dialog1 : On Loy Krathong Day\nJoy : It's Loy Krathong Day isn't it?\nTim : _1_ It's time to celebrate. _2_buy a krathong\nmade of bread and float it in the canal?\nJoy : Do you think that's a good idea _3_we should not\ndo that because it pollutes the water.\nTim : _4_ Krathongs made of bread are food for fish.\nJoy : _5_ humans are the major cause of environmental\ndestruction. Let's celebrate online instead.\n\nWhat is the most suitable answer for _4_?,(1) You're right.\n(2) I absolutely agree.\n(3) I couldn't agree more.\n(4)You can say that again.\n(5) That's not really true.,(5) That's not really true.,TRUE,TRUE,TRUE,
2021,5,Dialog1 : On Loy Krathong Day\nJoy : It's Loy Krathong Day isn't it?\nTim : _1_ It's time to celebrate. _2_buy a krathong\nmade of bread and float it in the canal?\nJoy : Do you think that's a good idea _3_we should not\ndo that because it pollutes the water.\nTim : _4_ Krathongs made of bread are food for fish.\nJoy : _5_ humans are the major cause of environmental\ndestruction. Let's celebrate online instead.\n\nWhat is the most suitable answer for _5_?,(1) Exactly\n(2) In other words\n(3) What more\n(4) As I see it\n(5) If I'm wrong,(4) As I see it,TRUE,TRUE,TRUE,
2021,6,"Sam : Everyone's looking forward to the long weekend.\nWhat are your plans?\nBob : For the long weekend? _6_\nSam : A holiday by the beach or in the mountains? _7_\nBob : Neither one. I'm broke. _8_\nSam : Come on, Bob. We haven't gone anywhere together for quite\nsome time. _9_ going to Pattaya?\nBob : I'd love to, _10_Didn't you hear me say I'm broke?\n\nWhat is the most suitable answer for _6_?",(1) It looks nice.\n(2) I'd be glad to.\n(3) I'm so anxious.\n(4) That's very kind of you.\n(5) I haven't really though tabout it.,(5) I haven't really though tabout it.,TRUE,TRUE,TRUE,
2021,7,"Sam : Everyone's looking forward to the long weekend.\nWhat are your plans?\nBob : For the long weekend? _6_\nSam : A holiday by the beach or in the mountains? _7_\nBob : Neither one. I'm broke. _8_\nSam : Come on, Bob. We haven't gone anywhere together for quite\nsome time. _9_ going to Pattaya?\nBob : I'd love to, _10_Didn't you hear me say I'm broke?\n\nWhat is the most suitable answer for _7_?",(1) Will it be all right?\n(2) Do you enjoy cycling?\n(3) Which do you prefer?\n(4) Where did you go?\n(5) How do you spend your weekend?,(3) Which do you prefer?,TRUE,TRUE,TRUE,
2021,8,"Sam : Everyone's looking forward to the long weekend.\nWhat are your plans?\nBob : For the long weekend? _6_\nSam : A holiday by the beach or in the mountains? _7_\nBob : Neither one. I'm broke. _8_\nSam : Come on, Bob. We haven't gone anywhere together for quite\nsome time. _9_ going to Pattaya?\nBob : I'd love to, _10_Didn't you hear me say I'm broke?\n\nWhat is the most suitable answer for _8_?",(1) It depends.\n(2) I wish I were there.\n(3) That's not my business.\n(4) I'd rather stay at home.\n(5) The beach sounds good.,(4) I'd rather stay at home.,TRUE,TRUE,TRUE,
2021,9,"Sam : Everyone's looking forward to the long weekend.\nWhat are your plans?\nBob : For the long weekend? _6_\nSam : A holiday by the beach or in the mountains? _7_\nBob : Neither one. I'm broke. _8_\nSam : Come on, Bob. We haven't gone anywhere together for quite\nsome time. _9_ going to Pattaya?\nBob : I'd love to, _10_Didn't you hear me say I'm broke?\n\nWhat is the most suitable answer for _9_?",(1) How about\n(2) When are you\n(3) Do you keep\n(4) Did you enjoy\n(5) Are you serious about,(1) How about,TRUE,TRUE,TRUE,
2021,10,"Sam : Everyone's looking forward to the long weekend.\nWhat are your plans?\nBob : For the long weekend? _6_\nSam : A holiday by the beach or in the mountains? _7_\nBob : Neither one. I'm broke. _8_\nSam : Come on, Bob. We haven't gone anywhere together for quite\nsome time. _9_ going to Pattaya?\nBob : I'd love to, _10_Didn't you hear me say I'm broke?\n\nWhat is the most suitable answer for _10_?",(1)of course.\n(2) indeed.\n(3)actually.\n(4)but you don't.\n(5)but I can't.,(5)but I can't.,TRUE,TRUE,TRUE,
