year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,ข้อใดเป็นข้อความแสดงข้อเท็จจริง,(1) ผู้ออกแบบอนุสาวรีย์ชัยสมรภูมิ น่าจะได้รับแรงบันดาลใจจากการสู้รบของทหารกล้ำในเหตุการณ์กรณีพิพาทอินโดจีนกับฝรั่งเศส (2) คนไทยควรระลึกถึงความกล้าหาญของทหารไทยที่ได้ร่วมรบเคียงบ่าเคียงไหล่กับทหารชาติสัมพันธมิตรจนสงครามโลกครั้งที่ ๑ สงบ (3) ดอกป๊อบปี้กลายเป็นดอกไม้อนุสรณ์แห่งวีรกรรมของทหารผ่านศึก นับว่าเป็นสิ่งเตือนใจให้เห็นถึงเลือดสีแดงของทหารที่เสียสละเพื่อชาติ (4) อนุสาวรีย์ทหารอาสาตั้งอยู่กึ่งกลางสนามรูปสามเหลี่ยม ตรงมุมด้านทิศตะวันตกเฉียงเหนือของท้องสนามหลวง ตรงข้ามโรงละครแห่งชาติ,(4) อนุสาวรีย์ทหารอาสาตั้งอยู่กึ่งกลางสนามรูปสามเหลี่ยม ตรงมุมด้านทิศตะวันตกเฉียงเหนือของท้องสนามหลวง ตรงข้ามโรงละครแห่งชาติ,TRUE,TRUE,TRUE,
2021,2,คำที่ขีดเส้นใต้ในข้อใดใช้ความหมายตรง,(1) นักมวยฝ่ายแดงเพลี่ยงพล้ำตกเป็นเบี้ยล่างนักมวยฝ่ายน้ำเงิน (2) ถูกน้องยืมเงินไปหนึ่งหมื่นแต่ผ่อนใช้เป็นเบี้ยหัวแตกเดือนละ 500 บาท (3) ครูที่ไปปฏิบัติงานในโรงเรียนที่อยู่ห่างไกลความเจริญ จะได้รับเบี้ยกันดารด้วย (4) กว่าจะเจรจาเรื่องนี้ใด้สำเร็จ เขาต้องเสียเบี้ยบ้ายรายทางไปไม่ใช่น้อย,(3) ครูที่ไปปฏิบัติงานในโรงเรียนที่อยู่ห่างไกลความเจริญ จะได้รับเบี้ยกันดารด้วย,TRUE,TRUE,TRUE,
2021,3,มะขามเป็นต้นไม้ขนาดกลางถึงใหญ่ เปลือกของต้นมีความหนา ขรุขระ ปลายและโคนใบมน ออกดอกเป็นช่อเล็ก ๆ ตามปลายกิ่ง ส่วนผลเป็นฝักยาวประมาณ ๓ - ๒๐ เซนดิมตร รูปร่างโค้งหยักตามข้อปล้องของผล ปลือกของฝักเมื่ออ่อนจะมีสีเขียวอมเทา เนื้อในติดกับเปลือก มีเมล็ดอยู่ในฝัก แต่เมื่อแก่เปลือกจะเปลี่ยนเป็นสีน้ำตาลอ่อน มีความแข็ง แห้ง กรอบ แตกง่าย เนื้อข้างในเป็นสีน้ำตาล เมล็ดใหญ่ กลม สีดำ มีทั้งรสหวานและเปรี้ยว นอกจากผลมะขามแล้ว ใบมะขามก็เป็นส่วนที่นิยมนำมาทำอาหารด้วย ข้อใดเป็นการตั้งชื่อเรื่องที่ครอบคลุมเนื้อหาของข้อความข้างต้น,(1) รสชาติของมะขาม (2) ลักษณะของมะขาม (3) ประเภทของมะขาม (4) ประโยชน์ของมะขาม,(2) ลักษณะของมะขาม,TRUE,TRUE,TRUE,
2021,4,จากข้อความข้างต้น ย่อหน้าต่อไปกวรจะกล่าวถึงเรื่องใด,(1) การขยายพันธุ์ต้นมะขาม (2) สรรพคุณทางยาของมะขาม (3) รายการอาหารที่ปรุงจากมะขาม (4) แหล่งปลูกมะขามในประเทศไทย,(3) รายการอาหารที่ปรุงจากมะขาม,TRUE,TRUE,TRUE,
2021,5,๑) องค์การสหประชาชาติายงานว่าประชากรโลกปัจจุบันมีจำนวนราว ๗ พันล้านคน ๒) และประเมินว่าจำนวนประชากรโลกน่าจะถึง 5.๗ พันล้านคนในปี พ.ศ. ๒๖๐๗ ๓) จำนวนประชากรที่มากขนาดนั้นอาจทำให้ทรัพยากรไม่เพียงพอสำหรับทุกคน และเป็นไปได้ที่จะเกิดสงครามแย่งชิงทรัพยากรอย่างเช่นน้ำ ๔) อย่างไรก็ตาม การกระจายตัวของประชากรโลกไม่เท่ากันในแต่ละพื้นที่บางดินแดนมีประชากรหนาแน่นราวกับผึ้งในรัง เช่น ฮ่องกง มาเก๊า เป็นต้น ข้อความส่วนใดใช้กลวิธีการเปรียบเทียบ,(1) ส่วนที่ ๑ (2) ส่วนที่ ๒ (3) ส่วนที่ ๓ (4) ส่วนที่ ๔,(4) ส่วนที่ ๔,TRUE,TRUE,TRUE,
2021,6,๑) องค์การสหประชาชาติายงานว่าประชากรโลกปัจจุบันมีจำนวนราว ๗ พันล้านคน ๒) และประเมินว่าจำนวนประชากรโลกน่าจะถึง 5.๗ พันล้านคนในปี พ.ศ. ๒๖๐๗ ๓) จำนวนประชากรที่มากขนาดนั้นอาจทำให้ทรัพยากรไม่เพียงพอสำหรับทุกคน และเป็นไปได้ที่จะเกิดสงครามแย่งชิงทรัพยากรอย่างเช่นน้ำ ๔) อย่างไรก็ตาม การกระจายตัวของประชากรโลกไม่เท่ากันในแต่ละพื้นที่บางดินแดนมีประชากรหนาแน่นราวกับผึ้งในรัง เช่น ฮ่องกง มาเก๊า เป็นต้น ข้อความข้างต้นน่าเชื่อถือตามข้อใด,(1) อ้างอิงเหตุผลชัดเจนถูกต้อง (2) เสนอข้อมูลที่มีหลักฐานอ้างอิง (3) โน้มน้าวให้ผู้อ่านคิดเห็นคล้อยตาม (4) แสดงความคิดเห็นชวนให้ผู้อ่านตั้งคำถาม,(2) เสนอข้อมูลที่มีหลักฐานอ้างอิง,TRUE,TRUE,TRUE,
2021,7,"พระบรมราโชวาทต่อไปนี้ข้อใดกล่าวสรุปไม่สมเหตุสมผล ""งานราชการนั้น คือ งานของแผ่นดิน มีผลเกี่ยวเนื่องโดยตรงถึงประโยชน์ของประเทศชาติและประชาชนทุกคน ดังนั้น ข้าราชการผู้ปฏิบัติบริหารงานของแผ่นดิน จึงต้องทำความเข้าใจถึงความสำคัญในหน้าที่และความรับผิดชอบของตนให้ถ่องแท้ แล้วร่วมกันคิดร่วมกันทำด้วยความอุตสาหะ เสียสละ และด้วยความสุจริตจริงใจ โดยถือประโยชน์ที่จะเกิดจากงานเป็นหลักใหญ่""",(1) ข้าราชการควรร่วมกันระดมความคิดและลงมือปฏิบัติงานเพราะเป็นประโยชน์ของประเทศ (2) ข้าราชการไม่กวรละทิ้งความอุตสาหะในการปฏิบัติราชการเพราะงานนั้นเกี่ยวกับประเทศโดยตรง (3) ข้าราชการควรยึดถือความเสียสละเป็นที่ตั้งเพราะงานที่ทำนั้นยิ่งใหญ่เหนือความเข้าใจอย่างแท้จริง (4) ข้าราชการควรเข้าใจหน้าที่ความรับผิดชอบของตนเพราะการปฏิบัติหน้าที่ได้ดีเป็นประโยชน์ต่อประเทศชาติ,(3) ข้าราชการควรยึดถือความเสียสละเป็นที่ตั้งเพราะงานที่ทำนั้นยิ่งใหญ่เหนือความเข้าใจอย่างแท้จริง,TRUE,TRUE,TRUE,
2021,8,เจลแอลกอฮอล์ล้างมือเป็นของใช้จำเป็นเพื่อใช้ฆ่าเชื้อโคโรนาไวรัส ๒๐๑๙ ซึ่งไวรัสนี้อาจติดมือเราเมื่อสัมผัสสิ่งที่มีละอองน้ำลายของผู้ติดเชื้อ องค์การอาหารและยา (อย.) แนะนำว่าเจลล้างมือต้องมีส่วนผสมของเอทิลแอลกอฮอล์ร้อยละ ๙ ขึ้นไปเพื่อให้มั่นใจว่ามีปริมาณแอลกอฮอล์มากพอที่จะฆ่าเชื้อโรคได้ ส่วนเมทิลแอลกอฮอล์นั้นเป็นตัวทำละลายในอุตสาหกรรมการทำเฟอร์นิเจอร์ พวกมิจฉาชีพมักนำไปบรรจุขวดติดฉลากหลอกขายว่าเป็นเอทิลแอลกอฮอล์ ผู้บริโภคจึงต้องตรวจสอบความน่าเชื่อถือของเจลล้างมือจากมาตรฐานของสถานที่จัดจำหน่าย แหล่งผลิต เลขทะเบียนสินค้า วันที่ผลิตและวันหมดอายุ ข้อใดกล่าวโต้แย้งกับข้อความข้างต้น,(1) เชื้อโคโรนาไวรัส ๒๐๑๙ ป้องกันได้ด้วยการใช้เจลแอลกอฮอล์ (2) เอทิลแอลกอฮอล์ได้รับการรับรองว่าปลอดภัยในการใช้ล้างมือ (3) ปริมาณแอลกอฮอล์ทุกระดับใช้ฆ่าเชื้อโรคได้อย่างมีประสิทธิภาพ (4) เมทิลแอลกอฮอล์ร้อยละ ๗o ใช้ฆ่าเชื้อโคโรนาไวรัส ๒o๑๘ ไม่ได้,(3) ปริมาณแอลกอฮอล์ทุกระดับใช้ฆ่าเชื้อโรคได้อย่างมีประสิทธิภาพ,TRUE,TRUE,TRUE,
2021,9,เจลแอลกอฮอล์ล้างมือเป็นของใช้จำเป็นเพื่อใช้ฆ่าเชื้อโคโรนาไวรัส ๒๐๑๙ ซึ่งไวรัสนี้อาจติดมือเราเมื่อสัมผัสสิ่งที่มีละอองน้ำลายของผู้ติดเชื้อ องค์การอาหารและยา (อย.) แนะนำว่าเจลล้างมือต้องมีส่วนผสมของเอทิลแอลกอฮอล์ร้อยละ ๙ ขึ้นไปเพื่อให้มั่นใจว่ามีปริมาณแอลกอฮอล์มากพอที่จะฆ่าเชื้อโรคได้ ส่วนเมทิลแอลกอฮอล์นั้นเป็นตัวทำละลายในอุตสาหกรรมการทำเฟอร์นิเจอร์ พวกมิจฉาชีพมักนำไปบรรจุขวดติดฉลากหลอกขายว่าเป็นเอทิลแอลกอฮอล์ ผู้บริโภคจึงต้องตรวจสอบความน่าเชื่อถือของเจลล้างมือจากมาตรฐานของสถานที่จัดจำหน่าย แหล่งผลิต เลขทะเบียนสินค้า วันที่ผลิตและวันหมดอายุ ข้อใดประเมินค่าได้ถูกต้องตามข้อกวามข้างต้น,(1) เจลแอลกอฮอล์แท้ที่ใช้ล้างมือมีมาตรฐานถูกต้องตามองค์การอาหารและยา (2) องค์การอาหารและยาควบกุมดูแลส่วนผสมการผลิตเจลล้างมืออย่างเข้มงวด (3) ส่วนผสมร้อยละ ๗o ของแอลกอฮอล์ทุกชนิดทำให้คุณภาพของเจลล้างมือถูกสุขลักษณะ (4) วันที่ผลิตและวันหมดอายุของเจลแอลกอฮอล์ล้างมือเป็นสิ่งที่ใช้บ่งชี้ขั้นตอนการผลิตได้อย่างดี,(1) เจลแอลกอฮอล์แท้ที่ใช้ล้างมือมีมาตรฐานถูกต้องตามองค์การอาหารและยา,TRUE,TRUE,TRUE,
2021,10,จากการเขียนแนะนำสถานที่ท่องเที่ยวนี้ ข้อใดใช้คำไม่ถูกต้อง,(1) หมู่บ้านรักไทยเป็นแหล่งท่องเที่ยวแห่งใหม่ที่กำลังมาแรง (2) เจ้าของที่พักจะเตรียมข้าวของไว้พรั่งพรูเพื่อให้บริการผู้เข้าพัก (3) ท่านจะได้สัมผัสกลิ่นอายธรรมชาติเพียงแค่ก้าวออกมาจากห้องพัก (4) นักท่องเที่ยวจะมีโอกาสเรียนรู้วิถีชีวิตของกลุ่มชาติพันธุ์จีนยูนนานด้วย,(2) เจ้าของที่พักจะเตรียมข้าวของไว้พรั่งพรูเพื่อให้บริการผู้เข้าพัก,TRUE,TRUE,TRUE,
