year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,"โรงงานผลิตอาหารแห่งหนึ่งมีจำนวนพนักงานทั้งหมด 1,200 น โดยเดือนแรกมีอัตราส่วนของพนักงานที่ฉีดวักซึนเข็มที่ ! ต่อพนักงานที่ยังไม่ได้ฉีดวักซีนเข็มที่ 1 เป็น 7 : 17 เดือนที่สองมีพนักงานฉีดวัดชีนเข็มที่ 1 เพิ่มขึ้นอีก 400 คน และเดือนที่สามพนักงานได้รับการฉีดวัคซึนเข็มที่ 1 ครบทั้งหมด จำนวนพนักงานโรงงานแห่งนี้ได้รับการฉีดวัดซีนเข็มที่ 1 ในเดือนแรก ต่างจากที่ได้รับเข็มที่ 1 ในเดือนที่สามจำนวนกี่คน",(1) 50 คน \n(2) 100 คน \n(3) 150 คน \n(4) 500 คน,(2) 100 คน,TRUE,TRUE,TRUE,
2021,2,"ข้อมูลการส่งออกสินก้าปี 2563 ของประเทศไทย พบว่าสินก้าประเกทรถยนต์และอุปกรณ์ มีมูลต่ำการส่งออกประมาณ 21,000 ด้านดอลลาร์ ประเภทอัญมณีและเครื่องประดับมีมูลค่าการส่งออกประมาณ 18,200 ล้านดอลาร์ และประเภทเครื่องปรับอากาศมีมูลก่าการส่งออกประมาณ 5,200 ล้านคอลลาร์ สินค้าทั้ง 3 ประเภทมีมูลก่การส่งออกเฉลี่ยกี่ดอลลาร์",\1) 3.05 X 10^9 ดอลลาร์ \n(2) 3.05 x 10^10 ตอลลาร์ \n(3) 1.48 X 10^9 ดอลลาร์ \n(4) 1.48 X 10^10 ดอลลาร์,(4) 1.48 X 10^10 ดอลลาร์,TRUE,TRUE,TRUE,
2021,3,กำหนดให้ a เป็นจำนวนจริง ที่สอดคล้องกับ (x−1)^2+2x+1=x+a^2 และ x+a=1 แล้ว a มีค่าเท่ากับข้อใด,(1) 3/4 \n(2) 1 \n(3) 2 \n(4) 13/2,(3) 2,TRUE,TRUE,TRUE,
2021,4,"ให้กราฟของฟังก์ชัน f(x) มีลักษณะเป็นพาราโบลาหงาย กำหนดโดย f(x)=2x2+axtb โดยที่ a และ b เป็นจำนวนจริง ถ้ากำหนดให้จุดต่ำสุดของกราฟอยู่ที่ (1,1) แล้ว a+b มีค่าเท่ากับข้อใด",(1) -4 \n(2) -1 \n(3) 2 \n(4) 3,(2) -1,TRUE,TRUE,TRUE,
2021,5,จงพิจารณากราฟราคาทองคำในตลาดโถกตั้งแต่วันที่ 26 สิงหาคม (Aug) 2564 ถึงวันที่ 25 ตุลาคม (Oct) 2564 ต่อไปนี้ จากกราฟข้างบนข้อใดกล่าวถูกต้อง,(1) ถ้าซื้อทองในวันที่ 6 กันยายนแล้วขายในวันที่ 10 กันยายน จะได้กำไรมากว่าขายในวันที่ 24 กันยายน \n(2) ถ้าซื้อทองในวันที่ 15 ตุลาคม แล้วขายวันใดก็ได้ไม่เกินวันที่ 25 ตุลาคม จะได้กำไรแน่นอน \n(3) ถ้าซื้อทองในวันที่ 1 ตุลาคม แล้วขายในวันที่ 6 ตุลาคม จะได้กำไรมากกว่าขายในวันที่ 11 ตุลาคม \n(4) ถ้าซื้อทองในวันที่ 1 กันยายนแล้วขายในวันที่ 6 กันยายน จะได้กำไรมากกว่าซื้อในวันที่ 1 ตุลาคม แล้วขายวันที่ 25 ตุลาคม,(3) ถ้าซื้อทองในวันที่ 1 ตุลาคม แล้วขายในวันที่ 6 ตุลาคม จะได้กำไรมากกว่าขายในวันที่ 11 ตุลาคม,TRUE,TRUE,TRUE,
2021,6,ที่ดินรูปสี่เหลี่ยมผืนผ้าแปลงหนึ่งมีด้านยาวยาวกว่าด้านกว้างอยู่ 13 เมตร ที่ดินนี้มีด้านยาวด้านหนึ่งติดกับแม่น้ำ ถ้าวัดความยาว 3 ด้านโดยไม่รวมกับด้านที่ติดแม่น้ำจะได้ 49 เมตร แล้วที่ดินแปลงนี้มีพื้นที่เท่าใด,"(1) 264 ตารางเมตร \n(2) 300 ตารางเมตร \n(3) 770 ตารางเมตร \n(4) 1,014 ตารางเมตร",(2) 300 ตารางเมตร,TRUE,TRUE,TRUE,
2021,7,อิฐก่อสร้างชนิด A รากาก้อนละ 9 บาท ชนิด B ราคาก้อนละ 13 บาท ถ้าช่างซื้ออิฐทั้งสองชนิดเป็นเงิน 366 บาท โดยซื้อชนิด A มากกว่าชนิด B จำนวน 4 ก้อน แล้วช่างซื้ออิฐชนิด B จำนวนกี่ก้อน,(1) 15 ก้อน \n(2) 17 ก้อน \n(3) 19 ก้อน \n(4) 21 ก้อน,(1) 15 ก้อน,TRUE,TRUE,TRUE,
2021,8,ถ้าผลคูณของจำนวนนับสองจำนวนเป็น 450 และผลต่างของทั้งสองจำนวนเท่ากับ 7 แล้วผลบวกของทั้งสองจำนวนเป็นเท่าใด,(1) 37 \n(2) 40 \n(3) 43 \n(4) 45,(3) 43,TRUE,TRUE,TRUE,
2021,9,อ่างบัวอัตโนมัติมีส่วนประกอบเป็นถังน้ำทรงปริซึมฐานสี่เหลี่ยมจัตุรัสซึ่งมีความสูงเป็น 3 เท่าของความยาวฐานแต่ละด้าน ถูกสร้างให้ติดกับฐานอ่างบัวสูง 1/2 เมตร โดยกันอ่างเป็นรูป 3 ส่วน 4 ของวงกลม ดังรูป ถ้ถังน้ำมีกวามจุ 24 ลูกบาศก์มตร กวามจุของน้ำมากที่สุดที่ฐานอ่างบัวจะรองรับได้เป็นกี่ลูกบาศก์เมตร (Pi ~ 22/7),(1) 33/7 ลูกบาศก์เมตร \n(2) 44/7 ลูกบาศก์เมตร \n(3) 66/7 ลูกบาศก์เมตร \n(4) 88/7 ลูกบาศก์เมตร,(1) 33/7 ลูกบาศก์เมตร,TRUE,TRUE,TRUE,
2021,10,โรงเรียนสร้างโรงเรือนเกษตรหลังคารูปกรวยคว่ำโดยขอบของฐานกรวยบรรจบกับขอบของทรงกระบอกพอดี ด้านหน้ามีช่องเปิดโล่งพื้นที่ 14 ตารางเมตร ดังรูปถ้าต้องการซื้อพลาสติกคอุมหลังคาและด้านช้างของโรงเรือน ยกเว้นช่องเปิดโล่ง โดยกำหนดให้รัศมีของกรวยเป็น 7 เมตร สูงเอียง 9 เมตร และทรงกระบอกสูง 4 เมตร ต้องซื้อพลาสติกประมาณที่ตารางมตร (Pi ~ 22/7),(1) 176 ตารางเมตร \n(2) 198 ตารางเมตร \n(3) 346 ตารางเมตร \n(4) 360 ตารางเมตร,(4) 360 ตารางเมตร,TRUE,TRUE,TRUE,
